shaft,d,E,L,Phi,lam,n_elem,integration_method,rw_numeric,rw_theory,abs_err,rel_err
shaft_A_steel_d20,20.0,210000.0,128.66018191601304,0.05316114788505977,7.512136183293422,1,single_point,0.7632902869712663,0.763290286971265,1.3322676295501878e-15,1.7454272015390427e-15
shaft_A_steel_d20,20.0,210000.0,128.66018191601304,0.05316114788505977,7.512136183293422,1,exact,0.05114855870286347,0.05114855870286348,6.938893903907228e-18,1.3566157248373774e-16
shaft_A_steel_d20,20.0,210000.0,128.66018191601304,0.05316114788505977,7.512136183293422,2,single_point,0.9507902869712501,0.950790286971265,1.4876988529977098e-14,1.5646971507636692e-14
shaft_A_steel_d20,20.0,210000.0,128.66018191601304,0.05316114788505977,7.512136183293422,2,exact,0.17768660388038024,0.17768660388038052,2.7755575615628914e-16,1.562052231822389e-15
shaft_A_steel_d20,20.0,210000.0,96.7282896973296,0.0940536500605771,5.647715354994076,1,single_point,0.7735134125151438,0.7735134125151443,4.440892098500626e-16,5.74119598529092e-16
shaft_A_steel_d20,20.0,210000.0,96.7282896973296,0.0940536500605771,5.647715354994076,1,exact,0.08798944396161593,0.0879894439616159,2.7755575615628914e-17,3.1544210721159775e-16
shaft_A_steel_d20,20.0,210000.0,96.7282896973296,0.0940536500605771,5.647715354994076,2,single_point,0.9610134125151437,0.9610134125151443,5.551115123125783e-16,5.77631388993575e-16
shaft_A_steel_d20,20.0,210000.0,96.7282896973296,0.0940536500605771,5.647715354994076,2,exact,0.27979698025600785,0.27979698025600713,7.216449660063518e-16,2.5791735327024077e-15
shaft_A_steel_d20,20.0,210000.0,72.72150473001959,0.16640139352979552,4.246021098761808,1,single_point,0.7916003483824502,0.7916003483824489,1.3322676295501878e-15,1.683005360309069e-15
shaft_A_steel_d20,20.0,210000.0,72.72150473001959,0.16640139352979552,4.246021098761808,1,exact,0.1485970013696941,0.148597001369694,8.326672684688674e-17,5.603526725261953e-16
shaft_A_steel_d20,20.0,210000.0,72.72150473001959,0.16640139352979552,4.246021098761808,2,single_point,0.9791003483824441,0.9791003483824489,4.773959005888173e-15,4.875862840591499e-15
shaft_A_steel_d20,20.0,210000.0,72.72150473001959,0.16640139352979552,4.246021098761808,2,exact,0.4162420015041527,0.41624200150415164,1.0547118733938987e-15,2.533891028734588e-15
shaft_A_steel_d20,20.0,210000.0,54.67291178977868,0.2944003103635423,3.1922103076934087,1,single_point,0.8236000775908868,0.8236000775908856,1.2212453270876722e-15,1.4828135163123584e-15
shaft_A_steel_d20,20.0,210000.0,54.67291178977868,0.2944003103635423,3.1922103076934087,1,exact,0.24418118067378233,0.24418118067378214,1.942890293094024e-16,7.956756895567886e-16
shaft_A_steel_d20,20.0,210000.0,54.67291178977868,0.2944003103635423,3.1922103076934087,2,single_point,1.0111000775908874,1.0111000775908856,1.7763568394002505e-15,1.7568556058592306e-15
shaft_A_steel_d20,20.0,210000.0,54.67291178977868,0.2944003103635423,3.1922103076934087,2,exact,0.5805804846768249,0.5805804846768259,9.992007221626409e-16,1.721037390223055e-15
shaft_A_steel_d20,20.0,210000.0,41.103760086787695,0.5208582747032748,2.399942537147458,1,single_point,0.8802145686758189,0.8802145686758187,2.220446049250313e-16,2.5226190616121226e-16
shaft_A_steel_d20,20.0,210000.0,41.103760086787695,0.5208582747032748,2.399942537147458,1,exact,0.3870719711866951,0.3870719711866951,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,41.103760086787695,0.5208582747032748,2.399942537147458,2,single_point,1.0677145686758187,1.0677145686758187,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,41.103760086787695,0.5208582747032748,2.399942537147458,2,exact,0.7636703523894762,0.7636703523894753,8.881784197001252e-16,1.1630390219039827e-15
shaft_A_steel_d20,20.0,210000.0,30.902306790765493,0.9215117402283436,1.8043059906574799,1,single_point,0.9803779350570858,0.9803779350570859,1.1102230246251565e-16,1.1324439126228497e-16
shaft_A_steel_d20,20.0,210000.0,30.902306790765493,0.9215117402283436,1.8043059906574799,1,exact,0.590060257419127,0.5900602574191269,1.1102230246251565e-16,1.8815417758877323e-16
shaft_A_steel_d20,20.0,210000.0,30.902306790765493,0.9215117402283436,1.8043059906574799,2,single_point,1.1678779350570863,1.1678779350570858,4.440892098500626e-16,3.802531039584677e-16
shaft_A_steel_d20,20.0,210000.0,30.902306790765493,0.9215117402283436,1.8043059906574799,2,exact,0.9678159194990372,0.9678159194990367,5.551115123125783e-16,5.735713797722158e-16
shaft_A_steel_d20,20.0,210000.0,23.232730119441054,1.6303549902561054,1.3564991900980854,1,single_point,1.1575887475640265,1.1575887475640263,2.220446049250313e-16,1.9181648525203033e-16
shaft_A_steel_d20,20.0,210000.0,23.232730119441054,1.6303549902561054,1.3564991900980854,1,exact,0.8724561313284603,0.8724561313284603,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,23.232730119441054,1.6303549902561054,1.3564991900980854,2,single_point,1.3450887475640256,1.3450887475640263,6.661338147750939e-16,4.952340995948938e-16
shaft_A_steel_d20,20.0,210000.0,23.232730119441054,1.6303549902561054,1.3564991900980854,2,exact,1.22044473022979,1.2204447302297898,2.220446049250313e-16,1.8193745232790996e-16
shaft_A_steel_d20,20.0,210000.0,17.466649090548774,2.8844530983342014,1.0198325906274035,1,single_point,1.4711132745835505,1.4711132745835505,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,17.466649090548774,2.8844530983342014,1.0198325906274035,1,exact,1.2780359015238454,1.2780359015238452,2.220446049250313e-16,1.7373894165279712e-16
shaft_A_steel_d20,20.0,210000.0,17.466649090548774,2.8844530983342014,1.0198325906274035,2,single_point,1.6586132745835511,1.6586132745835505,6.661338147750939e-16,4.0162093538190737e-16
shaft_A_steel_d20,20.0,210000.0,17.466649090548774,2.8844530983342014,1.0198325906274035,2,exact,1.5838394647203382,1.5838394647203375,6.661338147750939e-16,4.20581649600905e-16
shaft_A_steel_d20,20.0,210000.0,13.131639238432653,5.103225816595203,0.7667225461672383,1,single_point,2.0258064541488006,2.0258064541488006,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,13.131639238432653,5.103225816595203,0.7667225461672383,1,exact,1.9029206192579005,1.9029206192579,4.440892098500626e-16,2.3337243043971446e-16
shaft_A_steel_d20,20.0,210000.0,13.131639238432653,5.103225816595203,0.7667225461672383,2,single_point,2.2133064541488,2.2133064541488006,4.440892098500626e-16,2.0064515197053978e-16
shaft_A_steel_d20,20.0,210000.0,13.131639238432653,5.103225816595203,0.7667225461672383,2,exact,2.169524441577349,2.169524441577347,1.7763568394002505e-15,8.187770579384461e-16
shaft_A_steel_d20,20.0,210000.0,9.872526103570237,9.028718043709496,0.5764313360877379,1,single_point,3.007179510927374,3.007179510927374,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,9.872526103570237,9.028718043709496,0.5764313360877379,1,exact,2.9323942794819216,2.9323942794819216,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,9.872526103570237,9.028718043709496,0.5764313360877379,2,single_point,3.194679510927373,3.194679510927374,8.881784197001252e-16,2.780180035781738e-16
shaft_A_steel_d20,20.0,210000.0,9.872526103570237,9.028718043709496,0.5764313360877379,2,exact,3.1694200948209774,3.169420094820976,1.3322676295501878e-15,4.203505971730266e-16
shaft_A_steel_d20,20.0,210000.0,7.422285207197722,15.973768836118783,0.43336808978018376,1,single_point,4.743442209029696,4.743442209029696,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,7.422285207197722,15.973768836118783,0.43336808978018376,1,exact,4.699256382815068,4.699256382815069,8.881784197001252e-16,1.8900403539337555e-16
shaft_A_steel_d20,20.0,210000.0,7.422285207197722,15.973768836118783,0.43336808978018376,2,single_point,4.930942209029697,4.930942209029696,8.881784197001252e-16,1.8012346972423752e-16
shaft_A_steel_d20,20.0,210000.0,7.422285207197722,15.973768836118783,0.43336808978018376,2,exact,4.916495812365177,4.916495812365179,1.7763568394002505e-15,3.613054718632412e-16
shaft_A_steel_d20,20.0,210000.0,5.580164298280615,28.26107644457194,0.32581140108444634,1,single_point,7.815269111142986,7.815269111142985,8.881784197001252e-16,1.1364655612866398e-16
shaft_A_steel_d20,20.0,210000.0,5.580164298280615,28.26107644457194,0.32581140108444634,1,exact,7.789637791617859,7.789637791617858,8.881784197001252e-16,1.140205030657345e-16
shaft_A_steel_d20,20.0,210000.0,5.580164298280615,28.26107644457194,0.32581140108444634,2,single_point,8.002769111142987,8.002769111142985,1.7763568394002505e-15,2.219677732457465e-16
shaft_A_steel_d20,20.0,210000.0,5.580164298280615,28.26107644457194,0.32581140108444634,2,exact,7.994548621802443,7.994548621802442,8.881784197001252e-16,1.1109800711924089e-16
shaft_A_steel_d20,20.0,210000.0,4.195235392680606,50.000000000000014,0.24494897427831777,1,single_point,13.250000000000007,13.250000000000004,3.552713678800501e-15,2.6812933424909435e-16
shaft_A_steel_d20,20.0,210000.0,4.195235392680606,50.000000000000014,0.24494897427831777,1,exact,13.235294117647063,13.235294117647062,1.7763568394002505e-15,1.3421362786579668e-16
shaft_A_steel_d20,20.0,210000.0,4.195235392680606,50.000000000000014,0.24494897427831777,2,single_point,13.437500000000004,13.437500000000004,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,4.195235392680606,50.000000000000014,0.24494897427831777,2,exact,13.432835820895523,13.432835820895525,1.7763568394002505e-15,1.3223989804424086e-16
shaft_B_alu_d55,55.0,71000.0,8240.828235074432,0.0001,173.20508075688772,1,single_point,0.7500250000002437,0.750025,2.4369395390522186e-13,3.2491444139224936e-13
shaft_B_alu_d55,55.0,71000.0,8240.828235074432,0.0001,173.20508075688772,1,exact,9.999250074992507e-05,9.9992500749925e-05,6.776263578034403e-20,6.776771785097578e-16
shaft_B_alu_d55,55.0,71000.0,8240.828235074432,0.0001,173.20508075688772,2,single_point,0.9375250000007528,0.937525,7.527312106958561e-13,8.028918809587543e-13
shaft_B_alu_d55,55.0,71000.0,8240.828235074432,0.0001,173.20508075688772,2,exact,0.00039985005997601085,0.0003998500599760096,1.2468324983583301e-18,3.11825012214113e-15
shaft_B_alu_d55,55.0,71000.0,6195.554902825793,0.00017692178179434993,130.21768645903353,1,single_point,0.7500442304481347,0.7500442304454485,2.6861846080805662e-12,3.5813682700888865e-12
shaft_B_alu_d55,55.0,71000.0,6195.554902825793,0.00017692178179434993,130.21768645903353,1,exact,0.0001768983099593739,0.00017689830995937383,8.131516293641283e-20,4.596717908446244e-16
shaft_B_alu_d55,55.0,71000.0,6195.554902825793,0.00017692178179434993,130.21768645903353,2,single_point,0.9375442304464947,0.9375442304454485,1.046163156104285e-12,1.1158547214430931e-12
shaft_B_alu_d55,55.0,71000.0,6195.554902825793,0.00017692178179434993,130.21768645903353,2,exact,0.0007072179394624079,0.0007072179394624065,1.4094628242311558e-18,1.9929681440244043e-15
shaft_B_alu_d55,55.0,71000.0,4657.893534360511,0.0003130131687328754,97.89924055717326,1,single_point,0.7500782532917941,0.7500782532921833,3.8913317013111737e-13,5.187900974640517e-13
